title; metacritic; release_year
parent fire quality; 72; 1970.0
until society political; 66; 1971.0
within peace notice; 63; 1972.0
every particularly down; 36; 1973.0
can picture recent; 33; 1974.0
clear defense account; 48; 1975.0
market task space; 77; 1976.0
company surface rather; 21; 1977.0
role his pretty; 42; 1978.0
family around scientist; 6; 1979.0
agree program much; 76; 1980.0
continue nearly relate; 100; 1981.0
alone full above; 87; 1982.0
serious study claim; 63; 1983.0
quite rather to; 98; 1984.0
will candidate popular; 44; 1985.0
reason voice fact; 55; 1986.0
born challenge east; 94; 1987.0
study sell one; 17; 1988.0
apply interesting significant; 59; 1989.0
everyone feel talk; 45; 1990.0
affect action building; 65; 1991.0
believe response letter; 53; 1992.0
area remain middle; 42; 1993.0
dream lead hope; 92; 1994.0
eye season claim; 86; 1995.0
become always eight; 53; 1996.0
memory future first; 84; 1997.0
best international gun; 3; 1998.0
remain hold away; 56; 1999.0
half officer six; 84; 2000.0
score maintain interview; 87; 2001.0
property particular catch; 67; 2002.0
star break get; 65; 2004.0
successful candidate behavior; 78; 2005.0
free boy happen; 68; 2006.0
seek own down; 35; 2007.0
development Mr spend; 100; 2008.0
indeed ability too; 71; 2009.0
feeling star citizen; 69; 2010.0
available pull usually; 98; 2011.0
bed remain health; 48; 2012.0
many painting fire; 44; 2013.0
study answer more; 27; 2014.0
police because specific; 100; 2015.0
fear thought reflect; 18; 2016.0
see coach career; 14; 2018.0
in something choice; 60; 2019.0
wish economy be; 7; 2021.0
